chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-3.2964043617248535,-15.854372024536133,-0.10104429721832275,8.36768913269043,0.0,0.0,0.0,206808608.0,1426.0,408.0,0.0
0.0,-4.916759967803955,-15.044179916381836,-0.10104429721832275,8.36768913269043,0.0,0.0,0.0,206815168.0,7987.0,408.0,0.0
0.0,-4.106567859649658,-17.47475814819336,-0.10063081979751587,8.36768913269043,0.0,0.0,0.0,206821696.0,14512.0,408.0,0.0
0.0,-2.891308069229126,-15.449275970458984,-0.10063081979751587,8.36768913269043,0.0,0.0,0.0,206827024.0,19846.0,408.0,0.0
0.0,-4.916759967803955,-17.47475814819336,-0.10259485244750977,8.367776870727539,0.0,0.0,0.0,206833072.0,25883.0,408.0,0.0
0.0,-4.106567859649658,-16.66456413269043,-0.10259485244750977,8.367776870727539,0.0,0.0,0.0,206839248.0,32062.0,408.0,0.0
0.0,-3.2964043617248535,-16.66456413269043,-0.12709356844425201,8.369512557983398,0.0,0.0,0.0,206845184.0,37992.0,408.0,0.0
0.0,-3.7014715671539307,-17.47475814819336,-0.12709356844425201,8.369512557983398,0.0,0.0,0.0,206851104.0,43922.0,408.0,0.0
0.0,-6.132063388824463,-20.715526580810547,-0.13148680329322815,8.370049476623535,0.0,0.0,0.0,206857664.0,50487.0,408.0,0.0
0.0,-5.321856498718262,-12.20850658416748,-0.13148680329322815,8.370049476623535,0.0,0.0,0.0,206864192.0,57009.0,408.0,0.0
0.0,-4.916759967803955,-17.06966209411621,-0.09453198313713074,8.368498802185059,0.0,0.0,0.0,206870720.0,63527.0,408.0,0.0
0.0,-5.72695255279541,-17.47475814819336,-0.09453198313713074,8.368498802185059,0.0,0.0,0.0,206876032.0,68846.0,408.0,0.0
0.0,-4.511663913726807,-17.06966209411621,-0.08920842409133911,8.36722183227539,0.0,0.0,0.0,206882096.0,74911.0,408.0,0.0
0.0,-7.347337245941162,-15.854372024536133,-0.08920842409133911,8.36722183227539,0.0,0.0,0.0,206888016.0,80834.0,408.0,0.0
0.0,-4.511663913726807,-17.06966209411621,-0.1017678901553154,8.368030548095703,0.0,0.0,0.0,206894096.0,86908.0,408.0,0.0
