chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-11.398314476013184,-14.639083862304688,-1.057321310043335,7.866688251495361,0.0,0.0,0.0,179252112.0,5077.0,405.0,0.0
0.0,-14.639083862304688,-18.284950256347656,-1.034838318824768,7.8649725914001465,0.0,0.0,0.0,179258080.0,11044.0,405.0,0.0
0.0,-13.018699645996094,-18.284950256347656,-1.034838318824768,7.8649725914001465,0.0,0.0,0.0,179264608.0,17563.0,405.0,0.0
0.0,-10.993218421936035,-16.66456413269043,-1.0214519500732422,7.86342191696167,0.0,0.0,0.0,179271072.0,24029.0,405.0,0.0
0.0,-10.58812141418457,-15.449275970458984,-1.0238810777664185,7.86342191696167,0.0,0.0,0.0,179277616.0,30583.0,405.0,0.0
0.0,-13.42378044128418,-15.449275970458984,-1.0238810777664185,7.864143371582031,0.0,0.0,0.0,179284176.0,37129.0,405.0,0.0
0.0,-11.803409576416016,-14.639083862304688,-1.037732720375061,7.866795539855957,0.0,0.0,0.0,179290688.0,43653.0,405.0,0.0
0.0,-12.20850658416748,-11.803409576416016,-1.037732720375061,7.866795539855957,0.0,0.0,0.0,179296016.0,48971.0,405.0,0.0
0.0,-15.044179916381836,-16.259469985961914,-1.0455888509750366,7.866795539855957,0.0,0.0,0.0,179302032.0,54989.0,405.0,0.0
0.0,-13.42378044128418,-15.854372024536133,-1.0455888509750366,7.866795539855957,0.0,0.0,0.0,179308192.0,61154.0,405.0,0.0
0.0,-13.42378044128418,-17.47475814819336,-1.0427461862564087,7.866795539855957,0.0,0.0,0.0,179314176.0,67128.0,405.0,0.0
0.0,-12.613602638244629,-15.044179916381836,-1.0427461862564087,7.866795539855957,0.0,0.0,0.0,179320032.0,72996.0,405.0,0.0
0.0,-13.828877449035645,-17.47475814819336,-1.0335462093353271,7.8626227378845215,0.0,0.0,0.0,179326544.0,79505.0,405.0,0.0
0.0,-13.42378044128418,-17.06966209411621,-1.0335462093353271,7.8626227378845215,0.0,0.0,0.0,179333104.0,86068.0,405.0,0.0
0.0,-15.449275970458984,-14.639083862304688,-1.039335012435913,7.862807750701904,0.0,0.0,0.0,179339440.0,92403.0,405.0,0.0
0.0,-15.449275970458984,-16.259469985961914,-1.039335012435913,7.862807750701904,0.0,0.0,0.0,179345968.0,98932.0,405.0,0.0
0.0,-13.018699645996094,-16.66456413269043,-1.0488966703414917,7.865128517150879,0.0,0.0,0.0,179351104.0,104067.0,405.0,0.0
0.0,-12.613602638244629,-15.854372024536133,-1.0488966703414917,7.865128517150879,0.0,0.0,0.0,179357072.0,110038.0,405.0,0.0
0.0,-13.42378044128418,-16.259469985961914,-1.0459506511688232,7.86593770980835,0.0,0.0,0.0,179363104.0,116061.0,405.0,0.0
