chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,0.3494906723499298,-14.233972549438477,-0.17758987843990326,9.148881912231445,0.0,0.0,0.0,308508064.0,4949.0,401.0,0.0
0.0,-2.4862120151519775,-17.47475814819336,-0.1812078356742859,9.148881912231445,0.0,0.0,0.0,308514144.0,11029.0,401.0,0.0
0.0,-2.08111572265625,-16.259469985961914,-0.19025272130966187,9.1491060256958,0.0,0.0,0.0,308520576.0,17441.0,401.0,0.0
0.0,-2.08111572265625,-15.854372024536133,-0.19025272130966187,9.1491060256958,0.0,0.0,0.0,308526144.0,23034.0,401.0,0.0
0.0,-1.6759904623031616,-14.639083862304688,-0.18529096245765686,9.147974967956543,0.0,0.0,0.0,308532288.0,29169.0,401.0,0.0
0.0,-2.08111572265625,-17.879852294921875,-0.18529096245765686,9.147174835205078,0.0,0.0,0.0,308538176.0,35057.0,401.0,0.0
0.0,-2.08111572265625,-13.42378044128418,-0.18529096245765686,9.147174835205078,0.0,0.0,0.0,308544064.0,40934.0,401.0,0.0
0.0,-2.08111572265625,-8.967737197875977,-0.17407529056072235,9.14706802368164,0.0,0.0,0.0,308550080.0,46969.0,401.0,0.0
0.0,-0.8657979965209961,-15.854372024536133,-0.17040565609931946,9.14706802368164,0.0,0.0,0.0,308556576.0,53442.0,401.0,0.0
0.0,-1.270894169807434,-16.259469985961914,-0.17040565609931946,9.148286819458008,0.0,0.0,0.0,308563008.0,59893.0,401.0,0.0
0.0,-2.4862120151519775,-14.639083862304688,-0.18167300522327423,9.148286819458008,0.0,0.0,0.0,308569728.0,66619.0,401.0,0.0
0.0,-1.270894169807434,-14.639083862304688,-0.18167300522327423,9.147477149963379,0.0,0.0,0.0,308575072.0,71952.0,401.0,0.0
0.0,-0.46070176362991333,-15.449275970458984,-0.18058761954307556,9.147477149963379,0.0,0.0,0.0,308581280.0,78165.0,401.0,0.0
0.0,-1.270894169807434,-14.639083862304688,-0.18058761954307556,9.148969650268555,0.0,0.0,0.0,308587200.0,84083.0,401.0,0.0
