chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta
-21.930814743041992,0.0,-16.259469985961914,0.39652782678604126,7.612473011016846,0.0,0.0,1.0,1539810176.0,2.0,410.0,0.0
-20.31041717529297,0.0,-15.449275970458984,0.39652782678604126,7.611839294433594,0.0,0.0,1.0,1539816192.0,6024.0,410.0,0.0
-20.715526580810547,0.0,-16.259469985961914,0.3891885280609131,7.611839294433594,0.0,0.0,1.0,1539822208.0,11947.0,410.0,0.0
-22.33591079711914,0.0,-15.449275970458984,0.3891885280609131,7.611322402954102,0.0,0.0,1.0,1539828096.0,17840.0,410.0,0.0
-19.905319213867188,0.0,-15.044179916381836,0.3754402995109558,7.611322402954102,0.0,0.0,1.0,1539834624.0,24354.0,410.0,0.0
-16.66456413269043,0.0,-11.398314476013184,0.3754402995109558,7.6126389503479,0.0,0.0,1.0,1539841152.0,30917.0,410.0,0.0
-16.66456413269043,0.0,-11.398314476013184,0.3691864013671875,7.6126389503479,0.0,0.0,1.0,1539847680.0,37443.0,410.0,0.0
-22.741008758544922,0.0,-14.233972549438477,0.3745616674423218,7.612151145935059,0.0,0.0,1.0,1539854208.0,44001.0,410.0,0.0
-19.905319213867188,0.0,-17.47475814819336,0.3745616674423218,7.612940788269043,0.0,0.0,1.0,1539860736.0,50538.0,410.0,0.0
-16.259469985961914,0.0,-15.044179916381836,0.3745616674423218,7.612940788269043,0.0,0.0,1.0,1539866112.0,55866.0,410.0,0.0
-18.284950256347656,0.0,-14.639083862304688,0.3977682590484619,7.612940788269043,0.0,0.0,1.0,1539872000.0,61797.0,410.0,0.0
-21.120622634887695,0.0,-9.777929306030273,0.3938918709754944,7.613847732543945,0.0,0.0,1.0,1539878272.0,68022.0,410.0,0.0
-14.639083862304688,0.0,-13.828877449035645,0.3938918709754944,7.614140510559082,0.0,0.0,1.0,1539884288.0,74052.0,410.0,0.0
-19.5002384185791,0.0,-14.233972549438477,0.3751818835735321,7.614140510559082,0.0,0.0,1.0,1539890176.0,79942.0,410.0,0.0
-19.095142364501953,0.0,-13.828877449035645,0.3751818835735321,7.613457679748535,0.0,0.0,1.0,1539896704.0,86496.0,410.0,0.0
-21.525720596313477,0.0,-8.15754508972168,0.3695999085903168,7.613457679748535,0.0,0.0,1.0,1539902080.0,91840.0,410.0,0.0
-21.930814743041992,0.0,-15.449275970458984,0.3695999085903168,7.612443923950195,0.0,0.0,1.0,1539908224.0,98064.0,410.0,0.0
-19.5002384185791,0.0,-15.044179916381836,0.37709423899650574,7.612443923950195,0.0,0.0,1.0,1539914112.0,103940.0,410.0,0.0
-21.120622634887695,0.0,-11.398314476013184,0.37709423899650574,7.612502098083496,0.0,0.0,1.0,1539920128.0,109971.0,410.0,0.0
-22.33591079711914,0.0,-6.537159442901611,0.3900671899318695,7.612502098083496,0.0,0.0,1.0,1539926016.0,115863.0,410.0,0.0
-20.715526580810547,0.0,-17.879852294921875,0.3900671899318695,7.611907482147217,0.0,0.0,1.0,1539932672.0,122424.0,410.0,0.0
-19.905319213867188,0.0,-13.828877449035645,0.38882672786712646,7.611907482147217,0.0,0.0,1.0,1539939200.0,128975.0,410.0,0.0
-21.525720596313477,0.0,-17.47475814819336,0.38882672786712646,7.611478328704834,0.0,0.0,1.0,1539945728.0,135455.0,410.0,0.0
-21.120622634887695,0.0,-16.66456413269043,0.37931668758392334,7.611478328704834,0.0,0.0,1.0,1539951104.0,140836.0,410.0,0.0
-21.930814743041992,0.0,-15.044179916381836,0.37931668758392334,7.6136627197265625,0.0,0.0,1.0,1539957248.0,147014.0,410.0,0.0
