chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta
-16.259469985961914,0.0,-13.018699645996094,0.5842479467391968,7.688039302825928,0.0,0.0,300.0,996205248.0,3576.0,410.0,0.0
-14.233972549438477,0.0,-11.398314476013184,0.5842479467391968,7.688039302825928,0.0,0.0,300.0,996211136.0,9501.0,410.0,0.0
-15.854372024536133,0.0,-12.613602638244629,0.5728772282600403,7.686850070953369,0.0,0.0,300.0,996217088.0,15442.0,410.0,0.0
-20.31041717529297,0.0,-16.66456413269043,0.5728772282600403,7.686850070953369,0.0,0.0,300.0,996223616.0,21995.0,410.0,0.0
-19.905319213867188,0.0,-15.449275970458984,0.5829041600227356,7.68637228012085,0.0,0.0,300.0,996230144.0,28515.0,410.0,0.0
-16.259469985961914,0.0,-12.20850658416748,0.5829041600227356,7.68637228012085,0.0,0.0,300.0,996236672.0,35034.0,410.0,0.0
-20.31041717529297,0.0,-9.777929306030273,0.5846097469329834,7.684821605682373,0.0,0.0,300.0,996242048.0,40419.0,410.0,0.0
-21.525720596313477,0.0,-16.66456413269043,0.5846097469329834,7.684821605682373,0.0,0.0,300.0,996248256.0,46594.0,410.0,0.0
-19.5002384185791,0.0,-13.42378044128418,0.5782524943351746,7.684139251708984,0.0,0.0,300.0,996254272.0,52623.0,410.0,0.0
-16.66456413269043,0.0,-14.639083862304688,0.5782524943351746,7.684139251708984,0.0,0.0,300.0,996260160.0,58501.0,410.0,0.0
-19.905319213867188,0.0,-13.828877449035645,0.5791828036308289,7.683476448059082,0.0,0.0,300.0,996266112.0,64444.0,410.0,0.0
-19.095142364501953,0.0,-14.233972549438477,0.5791828036308289,7.682150363922119,0.0,0.0,300.0,996272640.0,71006.0,410.0,0.0
-21.120622634887695,0.0,-14.233972549438477,0.5647627115249634,7.682150363922119,0.0,0.0,300.0,996279168.0,77530.0,410.0,0.0
-14.233972549438477,0.0,-12.20850658416748,0.5647627115249634,7.681087493896484,0.0,0.0,300.0,996285760.0,84090.0,410.0,0.0
-21.930814743041992,0.0,-14.639083862304688,0.557630181312561,7.681087493896484,0.0,0.0,300.0,996291136.0,89477.0,410.0,0.0
-19.095142364501953,0.0,-8.967737197875977,0.557630181312561,7.6788740158081055,0.0,0.0,300.0,996297024.0,95355.0,410.0,0.0
-20.715526580810547,0.0,-14.639083862304688,0.5634705424308777,7.6788740158081055,0.0,0.0,300.0,996303232.0,101582.0,410.0,0.0
-19.905319213867188,0.0,-13.828877449035645,0.5634705424308777,7.6775383949279785,0.0,0.0,300.0,996309184.0,107516.0,410.0,0.0
-22.33591079711914,0.0,-8.562640190124512,0.5769603848457336,7.6775383949279785,0.0,0.0,300.0,996315072.0,113450.0,410.0,0.0
-20.31041717529297,0.0,-16.259469985961914,0.5769603848457336,7.676300048828125,0.0,0.0,300.0,996321664.0,120022.0,410.0,0.0
-22.741008758544922,0.0,-15.449275970458984,0.5737042427062988,7.676300048828125,0.0,0.0,300.0,996327040.0,125400.0,410.0,0.0
-21.930814743041992,0.0,-15.449275970458984,0.5737042427062988,7.676290035247803,0.0,0.0,300.0,996333248.0,131622.0,410.0,0.0
-23.55120086669922,0.0,-12.20850658416748,0.5737559199333191,7.676290035247803,0.0,0.0,300.0,996339136.0,137509.0,410.0,0.0
-20.31041717529297,0.0,-6.132063388824463,0.5737559199333191,7.676982402801514,0.0,0.0,300.0,996345088.0,143442.0,410.0,0.0
-20.715526580810547,0.0,-15.854372024536133,0.5679671764373779,7.676982402801514,0.0,0.0,300.0,996351040.0,149415.0,410.0,0.0
-19.905319213867188,0.0,-15.044179916381836,0.5679671764373779,7.676202297210693,0.0,0.0,300.0,996357568.0,155940.0,410.0,0.0
-18.690046310424805,0.0,-12.613602638244629,0.5607829689979553,7.676202297210693,0.0,0.0,300.0,996364160.0,162499.0,410.0,0.0
-19.905319213867188,0.0,-14.639083862304688,0.5607829689979553,7.6767778396606445,0.0,0.0,300.0,996370688.0,169025.0,410.0,0.0
-20.31041717529297,0.0,-15.449275970458984,0.5691042542457581,7.6767778396606445,0.0,0.0,300.0,996376000.0,174354.0,410.0,0.0
-21.120622634887695,0.0,-14.639083862304688,0.5691042542457581,7.6779866218566895,0.0,0.0,300.0,996382208.0,180578.0,410.0,0.0
-14.639083862304688,0.0,-11.803409576416016,0.5737042427062988,7.6779866218566895,0.0,0.0,300.0,996388160.0,186503.0,410.0,0.0
-21.525720596313477,0.0,-13.018699645996094,0.5737042427062988,7.677587032318115,0.0,0.0,300.0,996394112.0,192437.0,410.0,0.0
-21.525720596313477,0.0,-16.259469985961914,0.5761851072311401,7.677733421325684,0.0,0.0,300.0,996400064.0,198425.0,410.0,0.0
-21.120622634887695,0.0,-16.259469985961914,0.5761851072311401,7.677733421325684,0.0,0.0,300.0,996406592.0,204974.0,410.0,0.0
-19.5002384185791,0.0,-14.233972549438477,0.5725671648979187,7.67876672744751,0.0,0.0,300.0,996413120.0,211501.0,410.0,0.0
-17.47475814819336,0.0,-15.854372024536133,0.5725671648979187,7.67876672744751,0.0,0.0,300.0,996419648.0,218018.0,410.0,0.0
-20.31041717529297,0.0,-10.58812141418457,0.5630053877830505,7.681555271148682,0.0,0.0,300.0,996425024.0,223400.0,410.0,0.0
-19.905319213867188,0.0,-15.449275970458984,0.5630053877830505,7.681555271148682,0.0,0.0,300.0,996431232.0,229575.0,410.0,0.0
-20.31041717529297,0.0,-15.044179916381836,0.5725154280662537,7.6835737228393555,0.0,0.0,300.0,996437184.0,235550.0,410.0,0.0
-21.525720596313477,0.0,-15.854372024536133,0.5725154280662537,7.6835737228393555,0.0,0.0,300.0,996443136.0,241478.0,410.0,0.0
-19.095142364501953,0.0,-15.854372024536133,0.5780457854270935,7.6861186027526855,0.0,0.0,300.0,996449088.0,247422.0,410.0,0.0
-20.715526580810547,0.0,-16.66456413269043,0.5780457854270935,7.6861186027526855,0.0,0.0,300.0,996455616.0,253941.0,410.0,0.0
-17.06966209411621,0.0,-12.613602638244629,0.5618166327476501,7.68804931640625,0.0,0.0,300.0,996462144.0,260492.0,410.0,0.0
-7.347337245941162,0.0,-12.613602638244629,0.554529070854187,7.68804931640625,0.0,0.0,300.0,996468672.0,267006.0,410.0,0.0
-20.31041717529297,0.0,-15.854372024536133,0.554529070854187,7.68816614151001,0.0,0.0,300.0,996475200.0,273522.0,410.0,0.0
-15.854372024536133,0.0,-14.233972549438477,0.5715851187705994,7.6889753341674805,0.0,0.0,300.0,996481728.0,280086.0,410.0,0.0
-19.5002384185791,0.0,-12.613602638244629,0.5715851187705994,7.6889753341674805,0.0,0.0,300.0,996487040.0,285364.0,410.0,0.0
-19.095142364501953,0.0,-15.854372024536133,0.5802165269851685,7.688263893127441,0.0,0.0,300.0,996493056.0,291386.0,410.0,0.0
-21.120622634887695,0.0,-15.449275970458984,0.5802165269851685,7.688263893127441,0.0,0.0,300.0,996499200.0,297559.0,410.0,0.0
-22.741008758544922,0.0,-15.449275970458984,0.5669851303100586,7.688263893127441,0.0,0.0,300.0,996505216.0,303541.0,410.0,0.0
-21.930814743041992,0.0,-15.044179916381836,0.5669851303100586,7.688263893127441,0.0,0.0,300.0,996511104.0,309472.0,410.0,0.0
-19.905319213867188,0.0,-15.044179916381836,0.5669851303100586,7.6877760887146,0.0,0.0,300.0,996517632.0,315997.0,410.0,0.0
-20.715526580810547,0.0,-15.854372024536133,0.5669851303100586,7.6877760887146,0.0,0.0,300.0,996524224.0,322551.0,410.0,0.0
-20.31041717529297,0.0,-15.449275970458984,0.5760817527770996,7.68628454208374,0.0,0.0,300.0,996530752.0,329074.0,410.0,0.0
-21.120622634887695,0.0,-13.42378044128418,0.5760817527770996,7.68628454208374,0.0,0.0,300.0,996536000.0,334354.0,410.0,0.0
-21.930814743041992,0.0,-12.613602638244629,0.5806816816329956,7.6859822273254395,0.0,0.0,300.0,996542016.0,340380.0,410.0,0.0
