chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta
-26.791955947875977,0.0,-22.741008758544922,1.678989291191101,11.613032341003418,0.0,0.0,300.0,437429184.0,4117.0,404.0,0.0
-21.930814743041992,0.0,-17.879852294921875,1.6708747148513794,11.613032341003418,0.0,0.0,300.0,437435232.0,10158.0,404.0,0.0
-24.361392974853516,0.0,-13.42378044128418,1.6708747148513794,11.613256454467773,0.0,0.0,300.0,437441056.0,15999.0,404.0,0.0
-23.956296920776367,0.0,-20.31041717529297,1.6795061826705933,11.613256454467773,0.0,0.0,300.0,437447040.0,21981.0,404.0,0.0
-23.14610481262207,0.0,-21.525720596313477,1.6795061826705933,11.611072540283203,0.0,0.0,300.0,437453568.0,28487.0,404.0,0.0
-24.361392974853516,0.0,-21.120622634887695,1.6766635179519653,11.611072540283203,0.0,0.0,300.0,437460128.0,35043.0,404.0,0.0
-25.171585083007812,0.0,-22.33591079711914,1.6766635179519653,11.611228942871094,0.0,0.0,300.0,437466624.0,41568.0,404.0,0.0
-23.956296920776367,0.0,-20.31041717529297,1.6751645803451538,11.611228942871094,0.0,0.0,300.0,437472000.0,46937.0,404.0,0.0
-24.766489028930664,0.0,-19.905319213867188,1.6751645803451538,11.614241600036621,0.0,0.0,300.0,437478176.0,53105.0,404.0,0.0
-25.171585083007812,0.0,-19.5002384185791,1.6795578002929688,11.614358901977539,0.0,0.0,300.0,437484160.0,59077.0,404.0,0.0
-20.715526580810547,0.0,-19.5002384185791,1.6795578002929688,11.614358901977539,0.0,0.0,300.0,437490080.0,65006.0,404.0,0.0
-24.361392974853516,0.0,-19.095142364501953,1.6790410280227661,11.61252498626709,0.0,0.0,300.0,437496032.0,70950.0,404.0,0.0
-23.55120086669922,0.0,-21.525720596313477,1.6790410280227661,11.61252498626709,0.0,0.0,300.0,437502592.0,77508.0,404.0,0.0
-27.602161407470703,0.0,-21.120622634887695,1.6709781885147095,11.612554550170898,0.0,0.0,300.0,437508960.0,83885.0,404.0,0.0
