chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-8.562640190124512,-16.259469985961914,0.4242826998233795,9.475982666015625,0.0,0.0,0.0,194331216.0,3281.0,395.0,0.0
0.0,-10.993218421936035,-15.854372024536133,0.42056137323379517,9.475982666015625,0.0,0.0,0.0,194337152.0,9211.0,395.0,0.0
0.0,-12.613602638244629,-18.690046310424805,0.42056137323379517,9.474324226379395,0.0,0.0,0.0,194343280.0,15336.0,395.0,0.0
0.0,-3.7014715671539307,-13.42378044128418,0.40893223881721497,9.474324226379395,0.0,0.0,0.0,194349616.0,21673.0,395.0,0.0
0.0,-10.993218421936035,-16.259469985961914,0.40893223881721497,9.47120475769043,0.0,0.0,0.0,194356064.0,28128.0,395.0,0.0
0.0,-12.20850658416748,-15.449275970458984,0.4087255001068115,9.47120475769043,0.0,0.0,0.0,194362560.0,34620.0,395.0,0.0
0.0,-11.803409576416016,-17.47475814819336,0.4087255001068115,9.47260856628418,0.0,0.0,0.0,194368032.0,40094.0,395.0,0.0
0.0,-11.803409576416016,-17.06966209411621,0.40924233198165894,9.47260856628418,0.0,0.0,0.0,194374256.0,46316.0,395.0,0.0
0.0,-7.7524333000183105,-15.854372024536133,0.40924233198165894,9.4733304977417,0.0,0.0,0.0,194380096.0,52150.0,395.0,0.0
0.0,-11.398314476013184,-16.66456413269043,0.41890743374824524,9.4733304977417,0.0,0.0,0.0,194386176.0,58228.0,395.0,0.0
0.0,-10.993218421936035,-17.06966209411621,0.41890743374824524,9.470102310180664,0.0,0.0,0.0,194392016.0,64069.0,395.0,0.0
0.0,-14.639083862304688,-17.06966209411621,0.41368725895881653,9.468952178955078,0.0,0.0,0.0,194398672.0,70729.0,395.0,0.0
0.0,-10.993218421936035,-14.233972549438477,0.41368725895881653,9.468952178955078,0.0,0.0,0.0,194404016.0,76070.0,395.0,0.0
0.0,-13.42378044128418,-16.66456413269043,0.4087771773338318,9.470346450805664,0.0,0.0,0.0,194410288.0,82345.0,395.0,0.0
0.0,-10.993218421936035,-17.06966209411621,0.4087771773338318,9.470346450805664,0.0,0.0,0.0,194416064.0,88129.0,395.0,0.0
0.0,-10.58812141418457,-16.259469985961914,0.40479743480682373,9.469381332397461,0.0,0.0,0.0,194422144.0,94206.0,395.0,0.0
0.0,-9.777929306030273,-19.905319213867188,0.40479743480682373,9.469381332397461,0.0,0.0,0.0,194428176.0,100235.0,395.0,0.0
0.0,-13.018699645996094,-16.66456413269043,0.40241992473602295,9.469527244567871,0.0,0.0,0.0,194434656.0,106710.0,395.0,0.0
0.0,-12.613602638244629,-16.66456413269043,0.4176670014858246,9.469527244567871,0.0,0.0,0.0,194441120.0,113177.0,395.0,0.0
0.0,-10.993218421936035,-16.66456413269043,0.4176670014858246,9.469820022583008,0.0,0.0,0.0,194447680.0,119745.0,395.0,0.0
0.0,-9.777929306030273,-19.5002384185791,0.4161164462566376,9.469820022583008,0.0,0.0,0.0,194453024.0,125090.0,395.0,0.0
0.0,-11.398314476013184,-15.449275970458984,0.4161164462566376,9.471935272216797,0.0,0.0,0.0,194459200.0,131260.0,395.0,0.0
0.0,-11.803409576416016,-17.47475814819336,0.40179967880249023,9.471935272216797,0.0,0.0,0.0,194465232.0,137291.0,395.0,0.0
0.0,-10.183025360107422,-16.259469985961914,0.40179967880249023,9.471643447875977,0.0,0.0,0.0,194471104.0,143171.0,395.0,0.0
0.0,-10.58812141418457,-18.690046310424805,0.40386709570884705,9.471643447875977,0.0,0.0,0.0,194477296.0,149353.0,395.0,0.0
0.0,-11.398314476013184,-17.879852294921875,0.40386709570884705,9.474275588989258,0.0,0.0,0.0,194483664.0,155724.0,395.0,0.0
0.0,-11.803409576416016,-17.47475814819336,0.4151344299316406,9.474275588989258,0.0,0.0,0.0,194489008.0,161068.0,395.0,0.0
0.0,-8.562640190124512,-17.06966209411621,0.4151344299316406,9.47485065460205,0.0,0.0,0.0,194495184.0,167245.0,395.0,0.0
0.0,-12.20850658416748,-17.47475814819336,0.41926923394203186,9.47485065460205,0.0,0.0,0.0,194501168.0,173226.0,395.0,0.0
0.0,-11.398314476013184,-13.828877449035645,0.41926923394203186,9.473525047302246,0.0,0.0,0.0,194507296.0,179353.0,395.0,0.0
0.0,-8.562640190124512,-18.690046310424805,0.4139973521232605,9.473525047302246,0.0,0.0,0.0,194513088.0,185147.0,395.0,0.0
0.0,-9.777929306030273,-16.259469985961914,0.4139973521232605,9.473661422729492,0.0,0.0,0.0,194519552.0,191615.0,395.0,0.0
0.0,-11.803409576416016,-16.66456413269043,0.399887353181839,9.477425575256348,0.0,0.0,0.0,194526016.0,198073.0,395.0,0.0
0.0,-9.372833251953125,-17.06966209411621,0.399887353181839,9.477425575256348,0.0,0.0,0.0,194532656.0,204720.0,395.0,0.0
0.0,-12.20850658416748,-10.993218421936035,0.42371416091918945,9.477640151977539,0.0,0.0,0.0,194539056.0,211119.0,395.0,0.0
0.0,-12.20850658416748,-17.06966209411621,0.42371416091918945,9.477640151977539,0.0,0.0,0.0,194545632.0,217685.0,395.0,0.0
0.0,-10.183025360107422,-17.06966209411621,0.431001752614975,9.477640151977539,0.0,0.0,0.0,194551232.0,223285.0,395.0,0.0
0.0,-11.398314476013184,-18.690046310424805,0.431001752614975,9.477640151977539,0.0,0.0,0.0,194557008.0,229073.0,395.0,0.0
0.0,-11.398314476013184,-17.06966209411621,0.4229905605316162,9.477825164794922,0.0,0.0,0.0,194563280.0,235346.0,395.0,0.0
