chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-13.018699645996094,-19.5002384185791,0.1558304727077484,9.68478012084961,0.0,0.0,0.0,111221272.0,587.0,367.0,0.0
0.0,-12.20850658416748,-18.690046310424805,0.15696753561496735,9.68478012084961,0.0,0.0,0.0,111227200.0,6512.0,367.0,0.0
0.0,-12.613602638244629,-18.690046310424805,0.15696753561496735,9.687860488891602,0.0,0.0,0.0,111233680.0,12993.0,367.0,0.0
0.0,-10.993218421936035,-19.905319213867188,0.15970684587955475,9.687860488891602,0.0,0.0,0.0,111239008.0,18322.0,367.0,0.0
0.0,-10.993218421936035,-18.690046310424805,0.15970684587955475,9.692180633544922,0.0,0.0,0.0,111245232.0,24544.0,367.0,0.0
0.0,-10.993218421936035,-18.690046310424805,0.15500350296497345,9.692180633544922,0.0,0.0,0.0,111251208.0,30517.0,367.0,0.0
0.0,-12.613602638244629,-19.095142364501953,0.15500350296497345,9.6910982131958,0.0,0.0,0.0,111257128.0,36441.0,367.0,0.0
0.0,-11.803409576416016,-16.66456413269043,0.15686416625976562,9.6910982131958,0.0,0.0,0.0,111263104.0,42415.0,367.0,0.0
0.0,-11.803409576416016,-14.233972549438477,0.15686416625976562,9.689118385314941,0.0,0.0,0.0,111269632.0,48942.0,367.0,0.0
0.0,-8.967737197875977,-17.06966209411621,0.16032707691192627,9.689118385314941,0.0,0.0,0.0,111276144.0,55454.0,367.0,0.0
0.0,-13.018699645996094,-18.284950256347656,0.15329790115356445,9.68947982788086,0.0,0.0,0.0,111282648.0,61959.0,367.0,0.0
0.0,-9.777929306030273,-16.259469985961914,0.15329790115356445,9.692365646362305,0.0,0.0,0.0,111289200.0,68512.0,367.0,0.0
0.0,-7.7524333000183105,-15.449275970458984,0.14947320520877838,9.692365646362305,0.0,0.0,0.0,111295720.0,75029.0,367.0,0.0
0.0,-10.183025360107422,-17.879852294921875,0.14947320520877838,9.696645736694336,0.0,0.0,0.0,111301080.0,80394.0,367.0,0.0
0.0,-12.20850658416748,-17.879852294921875,0.15567541122436523,9.696645736694336,0.0,0.0,0.0,111307056.0,86366.0,367.0,0.0
0.0,-5.72695255279541,-15.044179916381836,0.15567541122436523,9.696382522583008,0.0,0.0,0.0,111313272.0,92584.0,367.0,0.0
0.0,-11.803409576416016,-18.690046310424805,0.16435851156711578,9.696382522583008,0.0,0.0,0.0,111319200.0,98514.0,367.0,0.0
0.0,-13.018699645996094,-18.284950256347656,0.16435851156711578,9.693877220153809,0.0,0.0,0.0,111325080.0,104395.0,367.0,0.0
0.0,-12.613602638244629,-19.095142364501953,0.16384164988994598,9.693877220153809,0.0,0.0,0.0,111331648.0,110960.0,367.0,0.0
0.0,-11.398314476013184,-19.095142364501953,0.16384164988994598,9.694754600524902,0.0,0.0,0.0,111338216.0,117529.0,367.0,0.0
0.0,-10.993218421936035,-17.879852294921875,0.16570231318473816,9.694754600524902,0.0,0.0,0.0,111344696.0,124009.0,367.0,0.0
0.0,-10.58812141418457,-17.47475814819336,0.16570231318473816,9.699317932128906,0.0,0.0,0.0,111350016.0,129332.0,367.0,0.0
