chamberPressure,upstreamPressure,downstreamPressure,thrust,propellantMass,massFlow,throttlePosition,igniterVoltage,missionTime,managerStateTime,delta,
0.0,-4.511663913726807,-14.233972549438477,-0.6386206746101379,7.668850421905518,0.0,0.0,0.0,235784720.0,1.0,408.0,0.0
0.0,-0.46070176362991333,-13.828877449035645,-0.6386206746101379,7.668850421905518,0.0,0.0,0.0,235790016.0,5289.0,408.0,0.0
0.0,-3.2964043617248535,-17.06966209411621,-0.6332970857620239,7.670020580291748,0.0,0.0,0.0,235796224.0,11505.0,408.0,0.0
0.0,-2.4862120151519775,-16.259469985961914,-0.6332970857620239,7.670020580291748,0.0,0.0,0.0,235802192.0,17472.0,408.0,0.0
0.0,-4.106567859649658,-13.828877449035645,-0.6565553545951843,7.669640064239502,0.0,0.0,0.0,235808112.0,23391.0,408.0,0.0
0.0,-0.46070176362991333,-15.044179916381836,-0.6565553545951843,7.669640064239502,0.0,0.0,0.0,235814096.0,29366.0,408.0,0.0
0.0,-3.2964043617248535,-15.449275970458984,-0.6624991297721863,7.667504787445068,0.0,0.0,0.0,235820608.0,35883.0,408.0,0.0
0.0,-2.891308069229126,-16.259469985961914,-0.6484925150871277,7.667504787445068,0.0,0.0,0.0,235827120.0,42391.0,408.0,0.0
0.0,-4.511663913726807,-16.259469985961914,-0.6484925150871277,7.667046546936035,0.0,0.0,0.0,235833632.0,48912.0,408.0,0.0
0.0,-3.2964043617248535,-15.044179916381836,-0.6275600790977478,7.664374828338623,0.0,0.0,0.0,235840176.0,55448.0,408.0,0.0
0.0,-3.2964043617248535,-14.639083862304688,-0.6275600790977478,7.664374828338623,0.0,0.0,0.0,235846688.0,61970.0,408.0,0.0
0.0,-2.4862120151519775,-16.259469985961914,-0.6323150992393494,7.663867950439453,0.0,0.0,0.0,235852112.0,67384.0,408.0,0.0
0.0,-1.6759904623031616,-15.044179916381836,-0.6323150992393494,7.663867950439453,0.0,0.0,0.0,235858224.0,73499.0,408.0,0.0
0.0,-3.2964043617248535,-17.879852294921875,-0.6323150992393494,7.666724681854248,0.0,0.0,0.0,235864240.0,79519.0,408.0,0.0
0.0,-3.7014715671539307,-11.803409576416016,-0.6323150992393494,7.666724681854248,0.0,0.0,0.0,235870128.0,85396.0,408.0,0.0
